,composition,temperature,VAM,CW,HIP,SPS,A,BCC,FCC,HCP,IM,CTE,compressive ductility,compressive yield stress,d parameter,density,hardness,tensile ductility,tensile yield stress,ultimate compressive strength,ultimate tensile strength,youngs modulus
130,Al1Cr1Fe1Co1Si0.6Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1834000000.0,,,,,,2195000000.0,,
131,Al1Cr1Fe1Co1Si0.8Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,2179000000.0,,,,,,2664000000.0,,
132,Al1Cr1Fe1Co2Ni1Mo0.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,5746902000.0,,,,,
133,Al1Cr1Fe1Cu1Ni0.6,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,4864272000.0,,,,,
134,Al1Cr1Fe1Cu1Ni0.8,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,4766202000.0,,,,,
135,Al1Cr1Fe1Cu1Ni1.2,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,3991449000.0,,,,,
136,Al1Cr1Fe1Cu1Ni1.4,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,3599169000.0,,,,,
137,Al1Cr1Fe1Ni1Mo0.2,0.09933333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,4579869000.0,,,,,
138,Al1Cr1Fe1Ni1Mo0.2,0.09933333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,4743319000.0,,,,,
139,Al1Cr1Fe1Ni1Mo0.2,0.09933333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,,,5109447000.0,,,,,
140,Al1Cr1Fe1Ni1Mo0.2,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1487000000.0,,,5384043000.0,,,3222000000.0,,
141,Al1Cr1Fe1Ni1Mo0.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1831550000.0,,,6108289950.0,,,3333800000.0,,
142,Al1Cr1Fe1Ni1Mo0.8,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,1513000000.0,,,8375178000.0,,,1513000000.0,,
143,Al1Cr1Fe2Co1Ni1Mo0.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,6266673000.0,,,,,
144,Al1Fe1Co1Cu1Ni0.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,13.7,929000000.0,,,4225836300.0,,,,,
145,Al1Fe1Co1Cu1Ni0.8,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,12.3,1021000000.0,,,4118940000.0,,,,,
146,Al1Fe1Co1Cu1Ni1.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,35.9,680000000.0,,,3175506600.0,,,,,
147,Al2.5Cr1Fe1Co1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,4776009000.0,,,,,
148,Al21.3Cr15Fe21.3Co21.3Ni21.3,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,5001570000.0,,,,,
